Run,spots,bases,avgLength,size_MB,download_path,Platform,BioProject,ProjectID,BioSample,ScientificName
SRR11816519,115886,612471788,5285,532,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/816/SRR11816519/SRR11816519.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979201,Xanthomonas oryzae
SRR11816518,333994,1673537278,5010,1455,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11816/SRR11816518/SRR11816518.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979202,Xanthomonas oryzae
SRR11816517,102292,771675098,7543,670,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11816/SRR11816517/SRR11816517.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979203,Xanthomonas oryzae
SRR11816525,368029,1124753984,3056,980,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11816/SRR11816525/SRR11816525.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979204,Xanthomonas oryzae
SRR11816524,58696,264970099,4514,230,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/816/SRR11816524/SRR11816524.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979205,Xanthomonas oryzae
SRR11816523,293977,1007499918,3427,877,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11816/SRR11816523/SRR11816523.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979206,Xanthomonas oryzae
SRR16767125,14236,146161402,10267,81,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16767/SRR16767125/SRR16767125.1,PACBIO_SMRT,PRJNA775854,775854,SAMN22870819,Xanthomonas oryzae pv. oryzae
SRR16631313,5238,53252594,10166,32,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16631/SRR16631313/SRR16631313.lite.1,PACBIO_SMRT,PRJNA775854,775854,SAMN22630272,Xanthomonas oryzae
SRR17188519,7993,81450148,10190,48,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17188/SRR17188519/SRR17188519.lite.1,PACBIO_SMRT,PRJNA787438,787438,SAMN23839250,Xanthomonas oryzae pv. oryzae
SRR21266990,31599,469136501,14846,393,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR021/21266/SRR21266990/SRR21266990.1,OXFORD_NANOPORE,PRJNA861160,861160,SAMN29888038,Xanthomonas oryzae pv. oryzae
SRR21811821,74252,673002919,9063,583,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR021/21811/SRR21811821/SRR21811821.1,OXFORD_NANOPORE,PRJNA269479,269479,SAMN03252546,Xanthomonas oryzae pv. oryzae
